siruta,link_harta,cod_LMI,cod_RAN,nume,judet,uat,localitate,punct,reper,categorie,tip,data_modif,bibliografie,y_field,x_field
58883,http://bit.ly/30AC4av,lipsa cod,58883.05,Aşezarea de la Cubleşu Someşan - Între Hotare,Cluj,Panticeu,Cubleşu Someşan,Între Hotare,"Aşezarea este amplasată în extravilan, la nord-est faţă de localitate, pe malul stâng al Văii Cubleş",locuire,aşezare,22.5.2019,"1. Roska, M., Erdély régészeti repretóriuma. I. Őskor, Kolozsvár, 1942 [Publicaţie]
2. Crișan, Ioan Horațiu; Bărbulescu, Mihai; Chirilă, Eugen; Vasiliev, Valentin; Winkler, Iudita, Repertoriul arheologic al județului Cluj, Bibliotheca Musei Napocensis V, 1992, 170 [Repertoriu]
3. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe, Studiu istoric și arheologic aferent Planului Urbanstic General al comunei Panticeu, jud. Cluj, 2016 [Publicaţie]
 
",47.05243,23.62492
58883,http://bit.ly/2KVT99n,lipsa cod,58883.04,Aşezarea de la Cubleşu Someşan - Piatra Kendi,Cluj,Panticeu,Cubleşu Someşan,Piatra Kendi,"Aşezarea este amplasată în intravilan în nord-vestul localităţii, pe malul drept al Văii Cubleş",locuire,aşezare,22.5.2019,"1. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe, Studiu istoric și arheologic aferent Planului Urbanstic General al comunei Panticeu, jud. Cluj, 2016 [Publicaţie] (sursa fişei de sit)
2. Roska, M., Erdély régészeti repretóriuma. I. Őskor, Kolozsvár, 1942, 153 [Publicaţie]
3. Crișan, Ion Horațiu; Bărbulescu, Mihai; Chirilă, Eugen; Vasilev, Valentin; Winkler, Iudita, Repertoriul arheologic al județului Cluj, Bibliotheca Musei Napocensis V, 1992 [Publicaţie]
 
",47.05243,23.62492
58883,http://bit.ly/30AC5ez,lipsa cod,58883.01,Aşezarea eneolitică la Cubleşu Someşan - Labu Ghilanii,Cluj,Panticeu,Cubleşu Someşan,"Labu Ghilanii (Puszta, Gropa Fântânii de Piatră, Csatorna)","Aşezarea este amplasată extravilan, la vest faţă de fostul CAP.",locuire civilă,aşezare,22.5.2019,"1. Maxim, Zoia, Neo-Eneoliticul din Transilvania. Date arheologice şi matematico-statistice, 1999, 338 [Publicaţie] (sursa fişei de sit)
2. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 170 [Repertoriu] (sursa fişei de sit)
3. Roska, Erdély régészeti repretóriuma. I. Őskor, Kolozsvár, 1942, 152 [Publicaţie]
4. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe, Studiu istoric și arheologic aferent Planului Urbanstic General al comunei Panticeu, jud. Cluj, 2016 [Publicaţie]
 
",47.04897,23.62402
58883,http://bit.ly/30ACmhB,CJ-I-s-A-07023,58883.02,Situl arheologic de la Cubleşu Someşan - Viile Pustii,Cluj,Panticeu,Cubleşu Someşan,Viile Pustii,"Situl se află pe teritoriul satului, în extravilan, la nord faţă de cimitirul şi biserica ortodoxă.",locuire,aşezare,22.5.2019,"1. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, vol. I, București, 2004, 834, 246-250 [Ordin MCC] (sursa fişei de sit)
2. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 170 [Repertoriu] (sursa fişei de sit)
3. Roska, Marton, Erdély régészeti repretóriuma. I. Őskor, Kolozsvár, 1942, 153 [Publicaţie]
4. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe, Studiu istoric și arheologic aferent Planului Urbanstic General al comunei Panticeu, jud. Cluj, 2016 [Publicaţie]
 
",47.05382,23.62146
58865,http://bit.ly/30ACnlF,lipsa cod,58865.02,Depozitul de bronzuri de la Panticeu - Hosszúalj,Cluj,Panticeu,Panticeu,Hosszúalj,"Descoperit în partea de sud a localităţii, în extravilan, sub LEA 400 KV.",descoperire izolată,depozit de bronzuri,22.5.2019,"1. Marțian, Iulian, Repertoriu arheologic pentru Ardeal, Bistrița, 1920 [Publicaţie]
2. Roska, M., Erdély régészeti repretóriuma. I. Őskor, Kolozsvár, 1942, 220-221 [Publicaţie]
3. Petrescu - Dîmbovița, Mircea, Depozitele de bronzuri din România, București, 1977, 65, 57/4-9 [Publicaţie]
4. Crișan, Ion Horațiu; Bărbulescu, Mihai; Chirilă, Simion; Vasiliev, Valentin; Winkler, Iudita, Repertoriul arheologic al județului Cluj, Bibliotheca Musei Napocensis V, 1992 [Publicaţie]
5. Popșe, Corina, Reactualizare Plan Urbanisitic General şi regulament local de urbanism, comuna Panticeu, jud. Cluj - Memoriu General, 2016 [Fişă de sit]
 
",47.04236,23.55666
58847,http://bit.ly/2KUV26q,lipsa cod,58847.03,Aşezarea de la Sava - La Cruce,Cluj,Pălatca,Sava,La Cruce (Pe Deal),Aşezarea este amplasată în partea de sud-vest de hotar.,locuire,aşezare,22.5.2019,"1. Rotea, Mihai; Wittenberger, Mihai, Studiu Istoric din punct de vedere urbanistic al comunei Pălatca, judeţul Clu, 2013 [Fişă de sit] (sursa fişei de sit)
 
",46.88483,23.96923
58801,http://bit.ly/30BHt1b,lipsa cod,58801.04,Aşezarea Wietenberg de la Pălatca - Togul lui Mândruşcă,Cluj,Pălatca,Pălatca,Togul lui Togul lui Mândruşcă,Aşezarea este amplasată la extremitatea nord-estică a localităţii.,locuire civilă,aşezare,22.5.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Rotea, Mihai; Wittenberger, Mihai, Studiu Istoric din punct de vedere urbanistic al comunei Pălatca, judeţul Cluj, 2013 [Fişă de sit]
 
",46.84216,23.98781
55366,http://bit.ly/2KVzwyu,CJ-I-s-B-07000,55366.03,Necropolă avarică de la Câmpia Turzii,Cluj,Municipiul Câmpia Turzii,Câmpia Turzii,lipsa punct,"Necropola a fost descoperită pe teritoriul dintre oraş şi Turda, la vest de calea ferata, fosta proprietate Betegh.",descoperire funerară,necropolă,21.5.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, București, 2004, 830, 198 [Ordin MCC] (sursa fişei de sit)
3. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 118 [Repertoriu] (sursa fişei de sit)
4. Popșe, Corina; Mitrea, Vasile, Nemeti, Sorin; Fodorean, Florin, Studiu Istoric - Reactualizare PUG Municipiul Câmpia Turzii, jud. Cluj, 2012 [Fişă de sit]
 
",46.53507,23.87666
55366,http://bit.ly/30BHv9j,CJ-I-s-B-06998,55366.09,Tumulul de la Câmpia Turzii - Izvorul Fizeş III,Cluj,Municipiul Câmpia Turzii,Câmpia Turzii,Izvorul Fizeş III,"Tumulul este localizat în
spatele porţii nr. 3 a Combinatului Mechel, la cca. 400 m depărtare de şosea; este
practic într-o zona aflată actualmente în incinta Combinatului Mechel.",descoperire funerară,tumul,21.5.2019,"1. Popșe, Corina; Nemeti, Sorin; Fodorean, Florin-Gheorghe; Mitrea, Vasile, 2013 [Fişă de sit] (sursa fişei de sit)
 
",46.54586,23.88026
55366,http://bit.ly/2KYX9WZ,CJ-I-s-B-06998,55366.08,Tumulul de la Câmpia Turzii - Izvorul Fizeş II,Cluj,Municipiul Câmpia Turzii,Câmpia Turzii,Izvorul Fizeş II,Tumulul este amplasat lângă gară. Tumulul poate fi amplasat ipotetic pe latura sudică a triunghiului terasamentului de cale ferată,descoperire funerară,tumul,21.5.2019,"1. Popescu, Dorin, Săpăturile arheologice din Republica Socialistă România în anul 1967, SCIV, XIX, 4, 1968, 681 [Publicaţie]
2. Crişan, Transilvania la sfîrşitul Hallstattului (sec. VI-V î.e.n.), In Memoriam Constantini Daicoviciu, Cluj, 1974, 108 [Publicaţie]
3. Vasiliev, Grupul scitic din Transilvania, File de Istorie, IV, 1976, 87-106 [Publicaţie]
4. Vasiliev, Pumnalele akinakes din Transilvania, Acta Musei Napocensis, XVI, 1979, 11-37 [Publicaţie]
5. Vasiliev, Sciţii agatîrşi pe teritoriul României, Cluj- Napoca, 1980 [Publicaţie]
6. Vlassa, N; Takács, M; Lazarovici, Gh., Mormintele tumulare din Banat şi Transilvania în perioada eneolitică târzie, Acta Musei Napocensis, XXII - XXIII, 1985-1986, 59-78 [Publicaţie]
7. Popșe, Corina; Nemeti, Sorin; Foderean, Florin-Gheorghe; Mitrea, Vasile, 2013 [Fişă de sit] (sursa fişei de sit)
 
",46.54586,23.88026
55366,http://bit.ly/30AIUNt,CJ-I-s-B-06999,55366.02,Tumuli de la Câmpia Turzii - Izvorul Elecfalva,Cluj,Municipiul Câmpia Turzii,Câmpia Turzii,Izvorul Elecfalva,Grupul de tumuli se află lângă gară.,descoperire funerară,tumul,21.5.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, București, 2004, 830, 197 [Ordin MCC] (sursa fişei de sit)
3. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 117-118 [Repertoriu] (sursa fişei de sit)
4. Roska, Marton, Erdély régészeti repretóriuma. I. Őskor, Cluj, 1942 [Publicaţie]
 
",46.54357,23.87958
58801,http://bit.ly/30ElRBo,CJ-I-s-B-07131,58801.01,Situl arheologic de la Pălatca - Sub pădure,Cluj,Pălatca,Pălatca,Sub pădure (Chesăul Mare),"Situl se află în valea Ţagului, la sud de sat, înspre Chesău.",locuire civilă,aşezare şi necropolă,21.5.2019,"1. DMASI, Proiectul Listei Monumentelor Istorice, 1991 [Proiect LMI] (sursa fişei de sit)
2. Maxim, Zoia, Neo-Eneoliticul din Transilvania. Date arheologice şi matematico-statistice, 1999, 721 [Publicaţie] (sursa fişei de sit)
3. Lista Monumentelor Istorice, MO nr. 646 bis /16/07/2004, Ordinul ministrului culturii şi cultelor nr. 2.314/ 2004, vol. I, București, 2004, 850, 460-463 [Ordin MCC] (sursa fişei de sit)
4. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 301-303 [Repertoriu] (sursa fişei de sit)
5. Rotea, Mihai; Wittenberger, Mihai, Studiu Istoric din punct de vedere urbanistic al comunei Pălatca, judeţul Cluj, 2013 [Fişă de sit]
 
",46.8303,23.97768
58838,http://bit.ly/30Mt4z2,lipsa cod,58838.01,Aşezarea de la Petea - Togul lui Rusu,Cluj,Pălatca,Petea,Togul lui Rusu,Aşezarea este amplsată în partea de nord-vest a satului,locuire,aşezare,21.5.2019,"1. Rotea, Mihai; Wittenberger, Mihai, Studiu Istoric din punct de vedere urbanistic al comunei Pălatca, 2013 [Fişă de sit] (sursa fişei de sit)
 
",46.86621,24.01543
60151,http://bit.ly/2KYoFna,lipsa cod,60151.04,Topor eneolitic la Şoimeni - Gaura Vântului,Cluj,Vultureni,Şoimeni,Gaura Vântului,"Descoperirea s-a făcut la vest de sat, aproape de ""Gaura Vântului"", la punctul numit ""Dealul Cremenii"", aproape de stână.",descoperire izolată,obiect izolat,21.5.2019,"1. Maxim, Zoia, Neo-Eneoliticul din Transilvania. Date arheologice şi matematico-statistice, 1999, 991 [Publicaţie] (sursa fişei de sit)
2. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 1992, 384 [Repertoriu] (sursa fişei de sit)
 
",46.9615,23.51325
60151,http://bit.ly/30wrS2R,lipsa cod,60151.06,Aşezarea de la Şoimeni - Gura Fanchichii,Cluj,Vultureni,Şoimeni,Gura Fanchichii (Moara Todeştilor/Pârâul Fanchichii),Aşezarea este amplasată pe terasa din stânga Văii Şoimenilor.,locuire,aşezare,21.5.2019,"1. Marcu, Felix; Cupcea George, 2013 [Fişă de sit] (sursa fişei de sit)
 
",46.95924,23.53117
60106,http://bit.ly/30BCbTk,lipsa cod,60106.03,Aşezarea neo-eneolitică de la Vultureni - Fâneţele Râusei,Cluj,Vultureni,Vultureni,Fâneţele Râusei,lipsa reper,locuire civilă,aşezare,21.5.2019,"1. Maxim, Zoia, Neo-Eneoliticul din Transilvania. Date arheologice şi matematico-statistice, 1999, 1140 [Publicaţie] (sursa fişei de sit)
2. Crişan, I. H.; Bărbulescu, M.; Chirilă, E.; Vasiliev, V.; Winkler, I., Repertoriul arheologic al județului Cluj, Muzeul de Istorie al Transilvaniei, Biblioteca Musei Napocensis V, Cluj-Napoca, 21992, 434, 435, 250 [Repertoriu] (sursa fişei de sit)
 
",46.9644,23.56009
60106,http://bit.ly/2KZ9sTc,lipsa cod,60106.04,Aşezarea de la Vultureni - Sala Giulei,Cluj,Vultureni,Vultureni,Sala Giulei (Vadu' Ştiubei),"Situl se află în amonte de Vadul Ştiubei, înspre Sala Giulei.",locuire,aşezare,21.5.2019,"1. Marcu, Felix; Cupcea, George, 2013 [Fişă de sit] (sursa fişei de sit)
 
",46.96101,23.56012
59443,http://bit.ly/2KVzxCy,lipsa cod,59443.02,Fragmentele sculpturale romane de la Sâncraiu - Vermeş,Cluj,Sâncraiu,Sâncraiu,Vermeş,"Au fost descoperite în partea de hotar intitulată ""Vermeş"".",decoperire izolată,obiect izolat,20.5.2019,"1. Davis, L; Pintea, V., Un monument funerar din Dacia Porolissensis, Acta Musei Napocensis, 3, 1966, 459-463 [Publicaţie]
2. Nemeti, Sorin; Fodorean, Florin-Gheorghe, 2004 [Fişă de sit] (sursa fişei de sit)
 
",46.83088,22.98494
